id,lat,lon,rr,source
1600,51.022,-114.017,CP,derived
1605,46.2634351674,-96.5709629843,"RRVW, BNSF",derived
1606,41.9484,-87.9074,"CP, IHB, CN, ICE, METRA",derived
1611,39.756813,-86.361222,CSX,derived
1612,44.638747,-63.565484,"CN, VIA",derived
1613,49.273021,-123.094042,"CN, BNSF, VIA",derived
1616,49.2600826359,-122.762212222,CP CN,derived
1619,50.677957,-120.324417,CP,derived
1620,39.085,-94.688,BNSF,derived
1621,49.305914,-123.044563,"CN, CP",derived
1622,49.28438,-123.0761,CP/CN/BNSF/WCEX,derived
1625,43.07264,-76.033,"CSX, NYS&W, FGLR",derived
1626,43.06581,-76.18026,"CSX, NYS&W, FGLR, AMTRAK",derived
1629,46.862042,-100.879729,BNSF,derived
1630,41.873,-87.631,METX,derived
1632,41.803,-87.782,CN UP Amtrak,derived
1638,38.95851,-85.888694,CSX,derived
1642,53.76,-113.08,CN,derived
1643,50.851,-113.556,CP,derived
1644,52.766,-108.283,CN,derived
1645,51.23,-102.52,CP,derived
1646,52.103803,-106.753635,CN,derived
1647,41.285169,-82.818527,WE,derived
1649,53.285,-110.005,CN,derived
1650,50.387985,-105.545926,"CP, SRC",derived
1651,36.354735,-119.423243,UP/SJVR,derived
1652,49.200655,-122.930704,SRY/CN/CP,derived
1653,49.844685,-97.215893,"CN, CP",derived
1656,30.246,-81.606,FEC,derived
1658,44.90884,-93.04821,"UP,(CP)",derived
1659,44.762765,-93.049785,"UP, CP",derived
1660,43.664265,-94.500148,"UP,CP",derived
1662,53.561617,-113.351769,CN/CP,derived
1663,49.197129,-122.747061,CN,derived
1667,44.785,-95.795,BNSF,derived
1668,38.473,-87.284,ISRR,derived
1669,49.844685,-97.215893,"CN, CP, GO, VIA",derived
1672,45.032263,-92.786528,UP(BNSF),derived
1674,39.908911,-77.652655,"CSX, NS",derived
1678,30.43772,-91.21018,UP,derived
1679,30.3824114304,-81.7648275299,CSX,derived
1681,43.027341,-87.930767,"CP, UP, AMTRAK",derived
1683,41.150191,-100.828528,UP,derived
1685,42.739,-123.428,CORP,derived
1691,41.858,-87.74,CN CERR,derived
1692,40.3332,-79.9014,"URR, NS, CSX",derived
1693,40.135562,-79.887182,CSX,derived
1694,40.3923,-79.8556,"URR, NS, CSX, AMTRAK",derived
1697,42.319619,-83.118678,"CR, NS, CSX",derived
1701,52.994,-122.502,CN,derived
1702,45.63,-122.687,BNSF/AMTK/PNWR,derived
1703,43.707,-98.025,BNSF,derived
1704,45.464,-98.511,"BNSF, DMVW, RCPE",derived
1705,43.431,-97.272,BNSF,derived
1706,43.591,-96.658,BNSF,derived
1709,53.472,-113.489,CP,derived
